M<->R containerM:['19167878'] | containerR:['62555248'] | better score! | T= 781044164.3 | Number: 1180
M<->R containerM:['11947248'] | containerR:['62555248'] | not better, but acccepted. | T= 780263120.1 | Number: 1180
M<->R containerM:['37968269'] | containerR:['62555248'] | not better, but acccepted. | T= 779482857.0 | Number: 1180
M<->R containerM:['78745302'] | containerR:['62555248'] | not better, but acccepted. | T= 778703374.1 | Number: 1180
M<->R containerM:['27952985'] | containerR:['62555248'] | not better, but acccepted. | T= 777924670.7 | Number: 1180
M<->R containerM:['49681971'] | containerR:['62555248'] | not better, but acccepted. | T= 777146746.1 | Number: 1180
M<->R containerM:['39685270'] | containerR:['62555248'] | better score! | T= 776369599.3 | Number: 1180
M<->R containerM:['71564146'] | containerR:['62555248'] | not better, but acccepted. | T= 775593229.7 | Number: 1180
M<->R containerM:['86366053'] | containerR:['62555248'] | better score! | T= 774817636.5 | Number: 1180
M<->R containerM:['24063331'] | containerR:['62555248'] | not better, but acccepted. | T= 774042818.9 | Number: 1180
M<->R containerM:['52125146'] | containerR:['62555248'] | not better, but acccepted. | T= 773268776.0 | Number: 1180
M<->R containerM:['95005847'] | containerR:['62555248'] | not better, but acccepted. | T= 772495507.3 | Number: 1180
M<->R containerM:['17986347'] | containerR:['62555248'] | not better, but acccepted. | T= 771723011.8 | Number: 1180
M<->R containerM:['38919786'] | containerR:['62555248'] | not better, but acccepted. | T= 770951288.7 | Number: 1180
M<->R containerM:['12750287'] | containerR:['62555248'] | not better, but acccepted. | T= 770180337.5 | Number: 1180
M<->R containerM:['74919310'] | containerR:['62555248'] | not better, but acccepted. | T= 769410157.1 | Number: 1180
M<->R containerM:['78226997'] | containerR:['62555248'] | not better, but acccepted. | T= 768640747.0 | Number: 1180
M<->R containerM:['73255162'] | containerR:['62555248'] | not better, but acccepted. | T= 767872106.2 | Number: 1180
M<->R containerM:['60538052'] | containerR:['62555248'] | not better, but acccepted. | T= 767104234.1 | Number: 1180
M<->R containerM:['86924356'] | containerR:['62555248'] | not better, but acccepted. | T= 766337129.9 | Number: 1180
M<->R containerM:['17986347'] | containerR:['62555248'] | not better, but acccepted. | T= 765570792.7 | Number: 1180
