M<->R containerM:['94453962'] | containerR:['70944508'] | not better, but acccepted. | T= 783391990.8 | Number: 293
M<->R containerM:['56517394'] | containerR:['70944508'] | not better, but acccepted. | T= 782608598.8 | Number: 293
M<->R containerM:['89357542'] | containerR:['70944508'] | not better, but acccepted. | T= 781825990.2 | Number: 293
M<->R containerM:['25172159'] | containerR:['70944508'] | not better, but acccepted. | T= 781044164.3 | Number: 293
M<->R containerM:['94230879'] | containerR:['70944508'] | not better, but acccepted. | T= 780263120.1 | Number: 293
M<->R containerM:['56017398'] | containerR:['70944508'] | better score! | T= 779482857.0 | Number: 293
M<->R containerM:['38569876'] | containerR:['70944508'] | not better, but acccepted. | T= 778703374.1 | Number: 293
M<->R containerM:['30648749'] | containerR:['70944508'] | not better, but acccepted. | T= 777924670.7 | Number: 293
M<->R containerM:['83161317'] | containerR:['70944508'] | not better, but acccepted. | T= 777146746.1 | Number: 293
M<->R containerM:['93765422'] | containerR:['70944508'] | not better, but acccepted. | T= 776369599.3 | Number: 293
M<->R containerM:['76636214'] | containerR:['70944508'] | not better, but acccepted. | T= 775593229.7 | Number: 293
M<->R containerM:['54188577'] | containerR:['70944508'] | not better, but acccepted. | T= 774817636.5 | Number: 293
M<->R containerM:['58793079'] | containerR:['70944508'] | not better, but acccepted. | T= 774042818.9 | Number: 293
M<->R containerM:['11490628'] | containerR:['70944508'] | not better, but acccepted. | T= 773268776.0 | Number: 293
M<->R containerM:['76910487'] | containerR:['70944508'] | not better, but acccepted. | T= 772495507.3 | Number: 293
M<->R containerM:['59856278'] | containerR:['70944508'] | not better, but acccepted. | T= 771723011.8 | Number: 293
M<->R containerM:['42127697'] | containerR:['70944508'] | not better, but acccepted. | T= 770951288.7 | Number: 293
M<->R containerM:['17410508'] | containerR:['70944508'] | not better, but acccepted. | T= 770180337.5 | Number: 293
M<->R containerM:['49016561'] | containerR:['70944508'] | not better, but acccepted. | T= 769410157.1 | Number: 293
M<->R containerM:['74322802'] | containerR:['70944508'] | not better, but acccepted. | T= 768640747.0 | Number: 293
M<->R containerM:['30648749'] | containerR:['70944508'] | not better, but acccepted. | T= 767872106.2 | Number: 293
M<->R containerM:['99951826'] | containerR:['70944508'] | not better, but acccepted. | T= 767104234.1 | Number: 293
M<->R containerM:['24915064'] | containerR:['70944508'] | not better, but acccepted. | T= 766337129.9 | Number: 293
M<->R containerM:['26695468'] | containerR:['70944508'] | not better, but acccepted. | T= 765570792.7 | Number: 293
M<->R containerM:['99930842'] | containerR:['70944508'] | not better, but acccepted. | T= 764805222.0 | Number: 293
M<->R containerM:['14710252'] | containerR:['70944508'] | not better, but acccepted. | T= 764040416.7 | Number: 293
M<->R containerM:['78304670'] | containerR:['70944508'] | better score! | T= 763276376.3 | Number: 293
M<->R containerM:['95756060'] | containerR:['70944508'] | not better, but acccepted. | T= 762513099.9 | Number: 293
